NUTS_ID,cloud_mean,cloud_m01,cloud_m02,cloud_m03,cloud_m04,cloud_m05,cloud_m06,cloud_m07,cloud_m08,cloud_m09,cloud_m10,cloud_m11,cloud_m12
CZ051,0.7382430525289642,0.8452000021934509,0.7953999837239584,0.7336333394050598,0.7009333372116089,0.6812749952077866,0.6717249900102615,0.718175008893013,0.6200249940156937,0.5975499898195267,0.7798500061035156,0.8259249925613403,0.8892249912023544
CZ052,0.73308957926929,0.8313000003496805,0.793066680431366,0.7417333324750265,0.6967999935150146,0.6709250062704086,0.6716999858617783,0.7069749981164932,0.6294249892234802,0.5781000033020973,0.7860499769449234,0.8242749869823456,0.8667249977588654
CZ06,0.724773612080349,0.8541166583697001,0.7894833286603292,0.7162166734536489,0.692166676123937,0.6977249905467033,0.6335250064730644,0.6884875074028969,0.6087625026702881,0.5908874943852425,0.7571249976754189,0.8092875108122826,0.8594999983906746
CZ063,0.7242562532838847,0.8576666712760925,0.7935333251953125,0.7204333345095316,0.6986666719118754,0.6972000002861023,0.6327750086784363,0.6951000094413757,0.6040500104427338,0.5846749916672707,0.7560500055551529,0.8055500090122223,0.8453750014305115
CZ064,0.7252909708768129,0.8505666454633077,0.7854333321253458,0.7120000123977661,0.6856666803359985,0.6982499808073044,0.6342750042676926,0.681875005364418,0.6134749948978424,0.5970999971032143,0.7581999897956848,0.8130250126123428,0.8736249953508377
CZ07,0.7200472286591927,0.8409333427747091,0.7884666721026102,0.7084333499272665,0.7007333437601725,0.677825003862381,0.6246000081300735,0.6716250032186508,0.5846999958157539,0.6128250062465668,0.7265750020742416,0.8295000195503235,0.8743499964475632
CZ071,0.7200472286591927,0.8409333427747091,0.7884666721026102,0.7084333499272665,0.7007333437601725,0.677825003862381,0.6246000081300735,0.6716250032186508,0.5846999958157539,0.6128250062465668,0.7265750020742416,0.8295000195503235,0.8743499964475632
CZ08,0.7297840228097305,0.8455999890963236,0.790066659450531,0.7428999940554301,0.7271666526794434,0.710875004529953,0.6513499915599823,0.6729249954223633,0.6051750034093857,0.6413250043988228,0.7052249908447266,0.8089749962091446,0.8558249920606613
CZ080,0.7297840228097305,0.8455999890963236,0.790066659450531,0.7428999940554301,0.7271666526794434,0.710875004529953,0.6513499915599823,0.6729249954223633,0.6051750034093857,0.6413250043988228,0.7052249908447266,0.8089749962091446,0.8558249920606613
DE,0.7377036776384244,0.8333484855565159,0.8054166675517053,0.7294363630088893,0.6955499974164097,0.6735375013879754,0.6493619301102378,0.746206250380386,0.6164556834846735,0.6489477274431423,0.7544363652440634,0.8425494334237142,0.8571977266533808
DE1,0.7402158017373747,0.8393666744232178,0.7879000107447306,0.7690499971310297,0.7139416709542274,0.7039062567055225,0.6390437483787537,0.7151875011622906,0.5818500034511089,0.6728875041007996,0.768143754452467,0.8525874987244606,0.8387250006198883
DE11,0.7459465300457345,0.8479666709899902,0.7999000151952108,0.7577666640281677,0.7030999958515167,0.6917500048875809,0.6458499878644943,0.7326499968767166,0.5805500149726868,0.6728749945759773,0.7832250148057938,0.87882499396801,0.8569000065326691
DE11B,0.7459465300457345,0.8479666709899902,0.7999000151952108,0.7577666640281677,0.7030999958515167,0.6917500048875809,0.6458499878644943,0.7326499968767166,0.5805500149726868,0.6728749945759773,0.7832250148057938,0.87882499396801,0.8569000065326691
DE12,0.7353350727094544,0.8335000077883402,0.7710000177224478,0.7678999900817871,0.7152833441893259,0.7003374993801117,0.6340000033378601,0.7099125012755394,0.5871874988079071,0.6738125085830688,0.7537500038743019,0.8408749997615814,0.8364624977111816
DE126,0.7365479202320179,0.8342333436012268,0.7662666837374369,0.7550333340962728,0.7068666815757751,0.6888250112533569,0.6302749961614609,0.7257000058889389,0.5928749889135361,0.673600010573864,0.7539000064134598,0.8524999916553497,0.8584999889135361
